id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
47017,"Haridwar J Projects India","Haridwar","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235108,purchase@haridwarjprojecbuild.in,37750,"Verified RERA Active"
47018,"Solan K Buildtech India Pvt Ltd","Solan","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235113,purchase@solankbuildtechbuild.in,38500,"Verified RERA Active"
47019,"Baramulla L Civil Engineering Developers","Baramulla","Jammu & Kashmir","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700235118,purchase@baramullalcivilbuild.in,39250,"Verified RERA Active"
47020,"Mumbai M Living Spaces LLP","Mumbai","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235123,purchase@mumbaimlivingspbuild.in,40000,"Verified RERA Active"
47021,"Jamnagar N Living Spaces LLP","Jamnagar","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235128,purchase@jamnagarnlivingbuild.in,40750,"Verified RERA Active"
47022,"Dewas O Projects India","Dewas","Madhya Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700235133,purchase@dewasoprojectsibuild.in,41500,"Verified RERA Active"
47023,"Bhilai P Buildtech India Pvt Ltd","Bhilai","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235138,purchase@bhilaipbuildtecbuild.in,42250,"Verified RERA Active"
47024,"Ponda Q Civil Engineering Developers","Ponda","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235143,purchase@pondaqcivilengibuild.in,43000,"Verified RERA Active"
47025,"Mysuru R Living Spaces LLP","Mysuru","Karnataka","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700235148,purchase@mysururlivingspbuild.in,43750,"Verified RERA Active"
47026,"Madurai S Projects India","Madurai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235153,purchase@maduraisprojectbuild.in,44500,"Verified RERA Active"
47027,"Secunderabad T Buildtech India Pvt Ltd","Secunderabad","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235158,purchase@secunderabadtbubuild.in,45250,"Verified RERA Active"
47028,"Kurnool U Civil Engineering Developers","Kurnool","Andhra Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700235163,purchase@kurnoolucivilenbuild.in,46000,"Verified RERA Active"
47029,"Kannur V Living Spaces LLP","Kannur","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235168,purchase@kannurvlivingspbuild.in,46750,"Verified RERA Active"
47030,"Malda W Projects India","Malda","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235173,purchase@maldawprojectsibuild.in,47500,"Verified RERA Active"
47031,"Arrah X Projects India","Arrah","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700235178,purchase@arrahxprojectsibuild.in,48250,"Verified RERA Active"
47032,"Balasore Y Buildtech India Pvt Ltd","Balasore","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235183,purchase@balasoreybuildtbuild.in,49000,"Verified RERA Active"
47033,"Hazaribagh Z Civil Engineering Developers","Hazaribagh","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235188,purchase@hazaribaghzcivibuild.in,49750,"Verified RERA Active"
47034,"Guwahati A Living Spaces LLP","Guwahati","Assam & NE","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700235193,purchase@guwahatialivingbuild.in,50500,"Verified RERA Active"
47035,"Gurugram B Projects India","Gurugram","Delhi NCR","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235198,purchase@gurugrambprojecbuild.in,51250,"Verified RERA Active"
47036,"Lucknow C Buildtech India Pvt Ltd","Lucknow","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235203,purchase@lucknowcbuildtebuild.in,52000,"Verified RERA Active"
47037,"Jodhpur D Civil Engineering Developers","Jodhpur","Rajasthan","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700235208,purchase@jodhpurdcivilenbuild.in,52750,"Verified RERA Active"
47038,"Yamunanagar E Living Spaces LLP","Yamunanagar","Haryana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235213,purchase@yamunanagarelivbuild.in,53500,"Verified RERA Active"
47039,"Hoshiarpur F Projects India","Hoshiarpur","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235218,purchase@hoshiarpurfprojbuild.in,54250,"Verified RERA Active"
47040,"Dehradun G Buildtech India Pvt Ltd","Dehradun","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700235223,purchase@dehradungbuildtbuild.in,55000,"Verified RERA Active"
47041,"Dharamshala H Buildtech India Pvt Ltd","Dharamshala","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235228,purchase@dharamshalahbuibuild.in,55750,"Verified RERA Active"
47042,"Anantnag I Civil Engineering Developers","Anantnag","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235233,purchase@anantnagicivilebuild.in,56500,"Verified RERA Active"
47043,"Thane J Living Spaces LLP","Thane","Maharashtra","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700235238,purchase@thanejlivingspabuild.in,57250,"Verified RERA Active"
47044,"Surat K Projects India","Surat","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235243,purchase@suratkprojectsibuild.in,58000,"Verified RERA Active"
47045,"Jabalpur L Buildtech India Pvt Ltd","Jabalpur","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235248,purchase@jabalpurlbuildtbuild.in,58750,"Verified RERA Active"
47046,"Raipur M Civil Engineering Developers","Raipur","Chhattisgarh","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700235253,purchase@raipurmcivilengbuild.in,59500,"Verified RERA Active"
47047,"Vasco N Living Spaces LLP","Vasco da Gama","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235258,purchase@vasconlivingspabuild.in,60250,"Verified RERA Active"
47048,"Bengaluru O Projects India","Bengaluru","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235263,purchase@bengaluruoprojebuild.in,61000,"Verified RERA Active"
47049,"Coimbatore P Buildtech India Pvt Ltd","Coimbatore","Tamil Nadu","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700235268,purchase@coimbatorepbuilbuild.in,61750,"Verified RERA Active"
47050,"Khammam Q Civil Engineering Developers","Khammam","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235273,purchase@khammamqcivilenbuild.in,62500,"Verified RERA Active"
47051,"Nellore R Civil Engineering Developers","Nellore","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235278,purchase@nellorercivilenbuild.in,63250,"Verified RERA Active"
47052,"Thrissur S Living Spaces LLP","Thrissur","Kerala","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700235283,purchase@thrissurslivingbuild.in,64000,"Verified RERA Active"
47053,"Bardhaman T Projects India","Bardhaman","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235288,purchase@bardhamantprojebuild.in,64750,"Verified RERA Active"
47054,"Bihar U Buildtech India Pvt Ltd","Bihar Sharif","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235293,purchase@biharubuildtechbuild.in,65500,"Verified RERA Active"
47055,"Cuttack V Civil Engineering Developers","Cuttack","Odisha","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700235298,purchase@cuttackvcivilenbuild.in,66250,"Verified RERA Active"
47056,"Deoghar W Living Spaces LLP","Deoghar","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235303,purchase@deogharwlivingsbuild.in,67000,"Verified RERA Active"
47057,"Shillong X Projects India","Shillong","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235308,purchase@shillongxprojecbuild.in,67750,"Verified RERA Active"
47058,"South Y Buildtech India Pvt Ltd","South Delhi","Delhi NCR","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700235313,purchase@southybuildtechbuild.in,68500,"Verified RERA Active"
47059,"Kanpur Z Civil Engineering Developers","Kanpur","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235318,purchase@kanpurzcivilengbuild.in,69250,"Verified RERA Active"
47060,"Kota A Living Spaces LLP","Kota","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235323,purchase@kotaalivingspacbuild.in,70000,"Verified RERA Active"
47061,"Sonipat B Living Spaces LLP","Sonipat","Haryana","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700235328,purchase@sonipatblivingsbuild.in,70750,"Verified RERA Active"
47062,"Pathankot C Projects India","Pathankot","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235333,purchase@pathankotcprojebuild.in,71500,"Verified RERA Active"
47063,"Rishikesh D Buildtech India Pvt Ltd","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235338,purchase@rishikeshdbuildbuild.in,72250,"Verified RERA Active"
47064,"Shimla E Civil Engineering Developers","Shimla","Himachal Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700235343,purchase@shimlaecivilengbuild.in,73000,"Verified RERA Active"
47065,"Jammu F Living Spaces LLP","Jammu","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235348,purchase@jammuflivingspabuild.in,73750,"Verified RERA Active"
47066,"Solapur G Projects India","Solapur","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235353,purchase@solapurgprojectbuild.in,74500,"Verified RERA Active"
47067,"Gandhinagar H Buildtech India Pvt Ltd","Gandhinagar","Gujarat","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700235358,purchase@gandhinagarhbuibuild.in,75250,"Verified RERA Active"
47068,"Satna I Civil Engineering Developers","Satna","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235363,purchase@satnaicivilengibuild.in,76000,"Verified RERA Active"
47069,"Rajnandgaon J Living Spaces LLP","Rajnandgaon","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235368,purchase@rajnandgaonjlivbuild.in,76750,"Verified RERA Active"
47070,"Panaji K Projects India","Panaji","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700235373,purchase@panajikprojectsbuild.in,77500,"Verified RERA Active"
47071,"Ballari L Projects India","Ballari","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235378,purchase@ballarilprojectbuild.in,78250,"Verified RERA Active"
47072,"Chennai M Buildtech India Pvt Ltd","Chennai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235383,purchase@chennaimbuildtebuild.in,79000,"Verified RERA Active"
47073,"Karimnagar N Civil Engineering Developers","Karimnagar","Telangana","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700235388,purchase@karimnagarncivibuild.in,79750,"Verified RERA Active"
47074,"Guntur O Living Spaces LLP","Guntur","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235393,purchase@gunturolivingspbuild.in,80500,"Verified RERA Active"
47075,"Kollam P Projects India","Kollam","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235398,purchase@kollampprojectsbuild.in,81250,"Verified RERA Active"
47076,"Durgapur Q Buildtech India Pvt Ltd","Durgapur","West Bengal","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700235403,purchase@durgapurqbuildtbuild.in,82000,"Verified RERA Active"
47077,"Darbhanga R Civil Engineering Developers","Darbhanga","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235408,purchase@darbhangarcivilbuild.in,82750,"Verified RERA Active"
47078,"Berhampur S Living Spaces LLP","Berhampur","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235413,purchase@berhampurslivinbuild.in,83500,"Verified RERA Active"
47079,"Bokaro T Projects India","Bokaro Steel City","Jharkhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700235418,purchase@bokarotprojectsbuild.in,84250,"Verified RERA Active"
47080,"Silchar U Buildtech India Pvt Ltd","Silchar","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235423,purchase@silcharubuildtebuild.in,85000,"Verified RERA Active"
47081,"North V Buildtech India Pvt Ltd","North Delhi","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235428,purchase@northvbuildtechbuild.in,85750,"Verified RERA Active"
