id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
914,"Alwar E Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829016398,procurement@alwarbuild914.in,79900
915,"Ajmer F Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016405,procurement@ajmerbuild915.in,80250
916,"Bhilwara G Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829016412,procurement@bhilwarabuild916.in,80600
917,"Jaipur H Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016419,procurement@jaipurbuild917.in,80950
918,"Jodhpur I Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016426,procurement@jodhpurbuild918.in,81300
919,"Udaipur J Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016433,procurement@udaipurbuild919.in,81650
920,"Kota K Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829016440,procurement@kotabuild920.in,82000
921,"Alwar L Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016447,procurement@alwarbuild921.in,82350
922,"Ajmer M Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829016454,procurement@ajmerbuild922.in,82700
923,"Bhilwara N Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016461,procurement@bhilwarabuild923.in,83050
924,"Jaipur O Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829016468,procurement@jaipurbuild924.in,83400
925,"Jodhpur P Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016475,procurement@jodhpurbuild925.in,83750
926,"Udaipur Q Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829016482,procurement@udaipurbuild926.in,84100
927,"Kota R Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016489,procurement@kotabuild927.in,84450
928,"Alwar S Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829016496,procurement@alwarbuild928.in,84800
929,"Ajmer T Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016503,procurement@ajmerbuild929.in,85150
930,"Bhilwara U Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016510,procurement@bhilwarabuild930.in,85500
931,"Jaipur V Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016517,procurement@jaipurbuild931.in,85850
932,"Jodhpur W Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829016524,procurement@jodhpurbuild932.in,86200
933,"Udaipur X Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016531,procurement@udaipurbuild933.in,86550
934,"Kota Y Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829016538,procurement@kotabuild934.in,86900
935,"Alwar Z Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016545,procurement@alwarbuild935.in,87250
936,"Ajmer A Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829016552,procurement@ajmerbuild936.in,87600
937,"Bhilwara B Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016559,procurement@bhilwarabuild937.in,87950
938,"Jaipur C Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829016566,procurement@jaipurbuild938.in,88300
939,"Jodhpur D Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016573,procurement@jodhpurbuild939.in,88650
940,"Udaipur E Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829016580,procurement@udaipurbuild940.in,89000
941,"Kota F Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016587,procurement@kotabuild941.in,89350
942,"Alwar G Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016594,procurement@alwarbuild942.in,89700
943,"Ajmer H Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016601,procurement@ajmerbuild943.in,90050
944,"Bhilwara I Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829016608,procurement@bhilwarabuild944.in,90400
945,"Jaipur J Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016615,procurement@jaipurbuild945.in,90750
946,"Jodhpur K Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829016622,procurement@jodhpurbuild946.in,91100
947,"Udaipur L Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016629,procurement@udaipurbuild947.in,91450
948,"Kota M Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829016636,procurement@kotabuild948.in,91800
949,"Alwar N Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016643,procurement@alwarbuild949.in,92150
950,"Ajmer O Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829016650,procurement@ajmerbuild950.in,92500
951,"Bhilwara P Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016657,procurement@bhilwarabuild951.in,92850
952,"Jaipur Q Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829016664,procurement@jaipurbuild952.in,93200
953,"Jodhpur R Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016671,procurement@jodhpurbuild953.in,93550
954,"Udaipur S Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016678,procurement@udaipurbuild954.in,93900
955,"Kota T Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016685,procurement@kotabuild955.in,94250
956,"Alwar U Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829016692,procurement@alwarbuild956.in,94600
957,"Ajmer V Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016699,procurement@ajmerbuild957.in,94950
958,"Bhilwara W Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829016706,procurement@bhilwarabuild958.in,95300
959,"Jaipur X Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016713,procurement@jaipurbuild959.in,95650
960,"Jodhpur Y Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829016720,procurement@jodhpurbuild960.in,96000
961,"Udaipur Z Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016727,procurement@udaipurbuild961.in,96350
962,"Kota A Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829016734,procurement@kotabuild962.in,96700
963,"Alwar B Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016741,procurement@alwarbuild963.in,97050
964,"Ajmer C Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829016748,procurement@ajmerbuild964.in,97400
965,"Bhilwara D Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016755,procurement@bhilwarabuild965.in,97750
966,"Jaipur E Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016762,procurement@jaipurbuild966.in,98100
967,"Jodhpur F Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016769,procurement@jodhpurbuild967.in,98450
968,"Udaipur G Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829016776,procurement@udaipurbuild968.in,98800
969,"Kota H Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016783,procurement@kotabuild969.in,99150
970,"Alwar I Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829016790,procurement@alwarbuild970.in,99500
971,"Ajmer J Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016797,procurement@ajmerbuild971.in,99850
972,"Bhilwara K Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829016804,procurement@bhilwarabuild972.in,15200
973,"Jaipur L Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016811,procurement@jaipurbuild973.in,15550
974,"Jodhpur M Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829016818,procurement@jodhpurbuild974.in,15900
975,"Udaipur N Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016825,procurement@udaipurbuild975.in,16250
976,"Kota O Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829016832,procurement@kotabuild976.in,16600
977,"Alwar P Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016839,procurement@alwarbuild977.in,16950
978,"Ajmer Q Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016846,procurement@ajmerbuild978.in,17300
979,"Bhilwara R Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016853,procurement@bhilwarabuild979.in,17650
980,"Jaipur S Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829016860,procurement@jaipurbuild980.in,18000
981,"Jodhpur T Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016867,procurement@jodhpurbuild981.in,18350
982,"Udaipur U Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829016874,procurement@udaipurbuild982.in,18700
983,"Kota V Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016881,procurement@kotabuild983.in,19050
984,"Alwar W Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829016888,procurement@alwarbuild984.in,19400
985,"Ajmer X Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016895,procurement@ajmerbuild985.in,19750
986,"Bhilwara Y Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829016902,procurement@bhilwarabuild986.in,20100
987,"Jaipur Z Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016909,procurement@jaipurbuild987.in,20450
988,"Jodhpur A Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829016916,procurement@jodhpurbuild988.in,20800
989,"Udaipur B Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016923,procurement@udaipurbuild989.in,21150
990,"Kota C Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016930,procurement@kotabuild990.in,21500
991,"Alwar D Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016937,procurement@alwarbuild991.in,21850
992,"Ajmer E Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829016944,procurement@ajmerbuild992.in,22200
993,"Bhilwara F Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016951,procurement@bhilwarabuild993.in,22550
994,"Jaipur G Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829016958,procurement@jaipurbuild994.in,22900
995,"Jodhpur H Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016965,procurement@jodhpurbuild995.in,23250
996,"Udaipur I Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829016972,procurement@udaipurbuild996.in,23600
997,"Kota J Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016979,procurement@kotabuild997.in,23950
998,"Alwar K Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829016986,procurement@alwarbuild998.in,24300
999,"Ajmer L Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016993,procurement@ajmerbuild999.in,24650
1000,"Bhilwara M Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829017000,procurement@bhilwarabuild1000.in,25000
